"Bahnhof (Kürzel)
Karte",Linie,Eröffnung,Lage,Ortsteil,Umstieg,Denkmal,Anmerkungen,Sehenswürdigkeiten,Bild
"Breitenbachplatz (Bt)
52° 28′ 1″ N, 13° 18′ 31″ O",,12. Okt. 1913,Tunnel,Dahlem,,Eintrag in der Berliner Landesdenkmalliste,,,
"Britz-Süd (Br)
52° 26′ 16″ N, 13° 26′ 54″ O",,29. Sep. 1963,Tunnel,Britz,,–,Betriebswerkstatt,,
"Bülowstraße (Bs)
52° 29′ 51″ N, 13° 21′ 48″ O",,11. März 1902,Viadukt,Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,1972–1993 stillgelegt,,
"Bundesplatz (Bu)
52° 28′ 44″ N, 13° 19′ 41″ O",,29. Jan. 1971,Tunnel,Wilmersdorf,,–,,,
"Bundestag (BUN)
52° 31′ 12″ N, 13° 22′ 23″ O",,8. Aug. 2009,Tunnel,Tiergarten,,–,,"Reichstagsgebäude, Spreebogenpark mit Paul-Löbe-Haus und Bundeskanzleramt",
"Cottbusser Platz (C)
52° 32′ 2″ N, 13° 35′ 47″ O",,1. Juli 1989,Einschnitt,Hellersdorf,,Eintrag in der Berliner Landesdenkmalliste 2017[1],,,
"Dahlem-Dorf (DD)
52° 27′ 27″ N, 13° 17′ 23″ O",,12. Okt. 1913,Einschnitt,Dahlem,,Eintrag in der Berliner Landesdenkmalliste,,"Domäne Dahlem, Staatliche Museen Berlin-Dahlem, Freie Universität Berlin",
"Deutsche Oper (Obi)
52° 30′ 43″ N, 13° 18′ 38″ O",,14. Mai 1906,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,"1906–1929: *Bismarckstraße*
1929–1934: *Städtische Oper (Bismarckstraße)*
1934–1961: *Deutsches Opernhaus (Bismarckstraße)*
1961–1978: *Deutsche Oper (Bismarckstraße)*
bis 1971 Abzweig zum Richard-Wagner-Platz",Deutsche Oper,
"Eberswalder Straße (EB)
52° 32′ 30″ N, 13° 24′ 44″ O",,27. Juli 1913,Viadukt,Prenzlauer Berg,,Eintrag in der Berliner Landesdenkmalliste,"1913–1950: *Danziger Straße*
1950–1991: *Dimitroffstraße*","Friedrich-Ludwig-Jahn-Sportpark, Max-Schmeling-Halle",
"Eisenacher Straße (Ei)
52° 29′ 22″ N, 13° 21′ 1″ O",,29. Jan. 1971,Tunnel,Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,,,
"Elsterwerdaer Platz (E)
52° 30′ 18″ N, 13° 33′ 38″ O",,1. Juli 1988,Damm,Biesdorf,,Eintrag in der Berliner Landesdenkmalliste 2017[1],,,
"Ernst-Reuter-Platz (RP)
52° 30′ 43″ N, 13° 19′ 20″ O",,14. Dez. 1902,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,1902–1953: *Knie*,"TU Berlin, UdK Berlin, Telefunken-Hochhaus, Schillertheater",
"Fehrbelliner Platz (Fpo)
52° 29′ 25″ N, 13° 18′ 51″ O",,12. Okt. 1913,Tunnel,Wilmersdorf,,Eintrag in der Berliner Landesdenkmalliste,,"Friedhof Wilmersdorf, Filmarchiv des Bundesarchivs",
"Fehrbelliner Platz (Fpu)
52° 29′ 25″ N, 13° 18′ 51″ O",,29. Jan. 1971,Tunnel,Wilmersdorf,,Eintrag in der Berliner Landesdenkmalliste,,"Friedhof Wilmersdorf, Filmarchiv des Bundesarchivs",
"Frankfurter Allee (Ff)
52° 30′ 54″ N, 13° 28′ 29″ O",,21. Dez. 1930,Tunnel,Friedrichshain,,–,"1937–1951: *Frankfurter Allee (Ringbahn)*
1951–1961: *Stalinallee (Ringbahn)*
1961–1970: *Frankfurter Allee (Ringbahn)*",,
"Frankfurter Tor (Ft)
52° 30′ 57″ N, 13° 27′ 15″ O",,21. Dez. 1930,Tunnel,Friedrichshain,,–,"1930–1946: *Petersburger Straße*
1946–1958: *Bersarinstraße*
1958–1958: *Bersarinstraße (Frankfurter Tor)*
1958–1991: *Frankfurter Tor*
1991–1996: *Rathaus Friedrichshain*
1996–1996: *Frankfurter Tor*
1996–1998: *Petersburger Straße*",,
"Franz-Neumann-Platz (Am Schäfersee) (FN)
52° 33′ 50″ N, 13° 21′ 51″ O",,27. Apr. 1987,Tunnel,Reinickendorf,,–,,,
"*Französische Straße (Fr)*
52° 30′ 53″ N, 13° 23′ 21″ O",,30. Jan. 1923,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,"1961–1990 „Geisterbahnhof“
Am 4. Dez. 2020 durch Unter den Linden ersetzt","Gendarmenmarkt, Französischer Dom, Komische Oper, Staatsoper Unter den 
Linden",
"Freie Universität (Thielplatz) (T)
52° 27′ 4″ N, 13° 16′ 55″ O",,12. Okt. 1913,Einschnitt,Dahlem,,Eintrag in der Berliner Landesdenkmalliste,"Der *Thielplatz* wurde nach 1945 in Thielpark umbenannt.
1913–2016: *Thielplatz*","FU Berlin, Thielpark, Jesus-Christus-Kirche Dahlem, Harnack-Haus",
"Friedrichsfelde (Fi)
52° 30′ 22″ N, 13° 30′ 46″ O",,21. Dez. 1930,Tunnel,Friedrichsfelde,,–,"1958–1970: *Friedrichsfelde (Tierpark)*
Betriebswerkstatt",,
"Friedrichstraße (F)
52° 31′ 13″ N, 13° 23′ 13″ O",,30. Jan. 1923,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,"1923–1924: *Bahnhof Friedrichstraße*
1924–1936: *Stadtbahn (Friedrichstraße)*
1936–1970: *Bahnhof Friedrichstraße*","HU Berlin, Berliner Ensemble, Admiralspalast, Bundespresseamt, Staatsbibliothek 
unter den Linden",
"Friedrich-Wilhelm-Platz (Fw)
52° 28′ 19″ N, 13° 19′ 43″ O",,29. Jan. 1971,Tunnel,Friedenau,,–,,Kirche Zum Guten Hirten,
"Gesundbrunnen (Gb)
52° 32′ 55″ N, 13° 22′ 23″ O",,18. Apr. 1930,Tunnel,Gesundbrunnen,,Eintrag in der Berliner Landesdenkmalliste,,"Gesundbrunnen-Center, Volkspark Humboldthain",
"Gleisdreieck (Go)
52° 29′ 54″ N, 13° 22′ 31″ O",,3. Nov. 1912,Viadukt,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,,Deutsches Technikmuseum,
"Gleisdreieck (Gu)
52° 29′ 54″ N, 13° 22′ 31″ O",,3. Nov. 1912,Viadukt,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,"1971–1993: stillgelegt
1989–1991: M-Bahn",Deutsches Technikmuseum,
"Gneisenaustraße (Gs)
52° 29′ 29″ N, 13° 23′ 46″ O",,19. Apr. 1924,Tunnel,Kreuzberg,,–,,Passionskirche,
"Görlitzer Bahnhof (Gr)
52° 29′ 57″ N, 13° 25′ 41″ O",,18. Feb. 1902,Viadukt,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,"1902–1926: *Oranienstraße*
1926–1982: *Görlitzer Bahnhof (Oranienstraße)*",Emmauskirche,
"Grenzallee (Gz)
52° 27′ 48″ N, 13° 26′ 38″ O",,21. Dez. 1930,Tunnel,Britz,,Eintrag in der Berliner Landesdenkmalliste,,,
"Güntzelstraße (Gt)
52° 29′ 31″ N, 13° 19′ 51″ O",,29. Jan. 1971,Tunnel,Wilmersdorf,,–,,,
"Halemweg (Hl)
52° 32′ 12″ N, 13° 17′ 11″ O",,1. Okt. 1980,Tunnel,Charlottenburg-Nord,,–,,Volkspark Jungfernheide,
"Hallesches Tor (Ho)
52° 29′ 52″ N, 13° 23′ 28″ O",,18. Feb. 1902,Viadukt,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,,"Amerika-Gedenkbibliothek, Willy-Brandt-Haus, Jüdisches Museum",
"Hallesches Tor (Hu)
52° 29′ 52″ N, 13° 23′ 28″ O",,30. Jan. 1923,Tunnel,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,,"Amerika-Gedenkbibliothek, Willy-Brandt-Haus, Jüdisches Museum",
"Hansaplatz (Ha)
52° 31′ 4″ N, 13° 20′ 32″ O",,28. Aug. 1961,Tunnel,Hansaviertel,,Eintrag in der Berliner Landesdenkmalliste,,"Akademie der Künste, Musterviertel Südliches Hansaviertel, Grips-Theater, 
Kaiser-Friedrich-Gedächtniskirche, Großer Stern mit Siegessäule",
"Haselhorst (Hs)
52° 32′ 20″ N, 13° 13′ 58″ O",,1. Okt. 1984,Tunnel,Haselhorst,,Eintrag in der Berliner Landesdenkmalliste,,,
"Hauptbahnhof (HBF)
52° 31′ 30″ N, 13° 22′ 10″ O",,8. Aug. 2009,Tunnel,Moabit,,–,,"Bundesministerium für Wirtschaft und Energie, Bundesministerium des Innern, Bundesministerium 
für Bildung und Forschung, Charité, Humboldthafen, Museum für Gegenwart",
"Hausvogteiplatz (Hv)
52° 30′ 47″ N, 13° 23′ 48″ O",,1. Okt. 1908,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,,"Auswärtiges Amt, Bundesministerium der Justiz und für Verbraucherschutz, 
Gendarmenmarkt, Friedrichswerdersche Kirche, St.-Hedwigs-Kathedrale",
"Heidelberger Platz (Hb)
52° 28′ 48″ N, 13° 18′ 43″ O",,12. Okt. 1913,Tunnel,Wilmersdorf,,Eintrag in der Berliner Landesdenkmalliste,,,
"Heinrich-Heine-Straße (He)
52° 30′ 37″ N, 13° 24′ 57″ O",,6. Apr. 1928,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,"1928–1960: *Neanderstraße*
1961–1990 „Geisterbahnhof“","Evangelisch-Lutherische Kirche, Köllnischer Park mit Bärenzwinger, 
Sankt-Michael-Kirche",
"Hellersdorf (H)
52° 32′ 12″ N, 13° 36′ 23″ O",,1. Juli 1989,Einschnitt,Hellersdorf,,Eintrag in der Berliner Landesdenkmalliste 2017[1],,Alice-Salomon-Hochschule,
"Hermannplatz (Hpu)
52° 29′ 14″ N, 13° 25′ 29″ O",,11. Apr. 1926,Tunnel,Neukölln,,Eintrag in der Berliner Landesdenkmalliste,,,
"Hermannplatz (Hpo)
52° 29′ 14″ N, 13° 25′ 29″ O",,17. Juli 1927,Tunnel,Neukölln,,Eintrag in der Berliner Landesdenkmalliste,,,
"Hermannstraße (HMS)
52° 28′ 3″ N, 13° 25′ 53″ O",,14. Juli 1996,Tunnel,Neukölln,,–,,,
"Hohenzollernplatz (Hz)
52° 29′ 39″ N, 13° 19′ 29″ O",,12. Okt. 1913,Tunnel,Wilmersdorf,,Eintrag in der Berliner Landesdenkmalliste,,,
"Holzhauser Straße (Hh)
52° 34′ 33″ N, 13° 17′ 46″ O",,31. Mai 1958,Damm,Tegel,,Eintrag in der Berliner Landesdenkmalliste,,JVA Tegel,
"Hönow (Hö)
52° 32′ 18″ N, 13° 38′ 2″ O",,1. Juli 1989,Plan,Hellersdorf,,Eintrag in der Berliner Landesdenkmalliste 2017[1],Abstellanlage,,
"Innsbrucker Platz (Hauptstraße) (Ip)
52° 28′ 43″ N, 13° 20′ 38″ O",,1. Dez. 1910,Tunnel,Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,1910–1933: *Hauptstraße*,"Rudolph-Wilde-Park, RIAS-Funkhaus",
"Jakob-Kaiser-Platz (JK)
52° 32′ 12″ N, 13° 17′ 36″ O",,1. Okt. 1980,Tunnel,Charlottenburg-Nord,,–,,,
"Jannowitzbrücke (Jn)
52° 30′ 54″ N, 13° 25′ 5″ O",,18. März 1930,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,1961–1989 „Geisterbahnhof“,BVG-Zentrale,
"Johannisthaler Chaussee (Gropiusstadt) (Jt)
52° 25′ 46″ N, 13° 27′ 11″ O",,2. Jan. 1970,Tunnel,Gropiusstadt,,–,,Gropius Passagen,
"Jungfernheide (Jho)
52° 31′ 51″ N, 13° 18′ 3″ O",,1. Okt. 1980,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,nach Rudow,,
"Jungfernheide (Jhu)
52° 31′ 51″ N, 13° 18′ 3″ O",,1. Okt. 1980,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,nach Rathaus Spandau,,
"Kaiserdamm (Kd)
52° 30′ 36″ N, 13° 16′ 56″ O",,29. März 1908,Tunnel,Westend,,Eintrag in der Berliner Landesdenkmalliste,"1936–1967: *Kaiserdamm (Messedamm)*
1967–1968: *Adenauerdamm (Messedamm)*","ZOB Berlin, Messegelände, ICC, Funkturm, Lietzensee-Park",
"Kaiserin-Augusta-Straße (Ka)
52° 27′ 36″ N, 13° 23′ 5″ O",,28. Feb. 1966,Tunnel,Tempelhof,,–,,"Dorfkirche Tempelhof, Rathaus Tempelhof",
"Karl-Bonhoeffer-Nervenklinik (KB)
52° 34′ 42″ N, 13° 19′ 53″ O",,28. Sep. 1994,Tunnel,Wittenau,,–,,Karl-Bonhoeffer-Nervenklinik,
"Karl-Marx-Straße (KM)
52° 28′ 34″ N, 13° 26′ 21″ O",,11. Apr. 1926,Tunnel,Neukölln,,Eintrag in der Berliner Landesdenkmalliste,1926–1946: *Bergstraße*,,
"Kaulsdorf-Nord (KL)
52° 31′ 16″ N, 13° 35′ 20″ O",,1. Juli 1989,Einschnitt,Hellersdorf,,Eintrag in der Berliner Landesdenkmalliste 2017[1],1989–1991: *Albert-Norden-Straße*,,
"Kienberg (Gärten der Welt) (GK)
52° 31′ 43″ N, 13° 35′ 26″ O",,1. Juli 1989,Einschnitt,Hellersdorf,,–,"1989–1991: *Heinz-Hoffmann-Straße*
1991–1996: *Grottkauer Straße*
1996–2016: *Neue Grottkauer Straße*",Internationale Gartenausstellung 2017,
"Kleistpark (Kt)
52° 29′ 26″ N, 13° 21′ 37″ O",,29. Jan. 1971,Tunnel,Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,,Heinrich-von-Kleist-Park,
"Klosterstraße (Ko)
52° 30′ 58″ N, 13° 24′ 44″ O",,1. Juli 1913,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,,"Graues Kloster, Parochialkirche, Molkenmarkt, Altes Stadthaus, Stadtmauer",
"Kochstraße (Checkpoint Charlie) (Ks)
52° 30′ 21″ N, 13° 23′ 26″ O",,30. Jan. 1923,Tunnel,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,1923–1996: *Kochstraße*,"Checkpoint Charlie, Mauermuseum",
"Konstanzer Straße (Kn)
52° 29′ 37″ N, 13° 18′ 36″ O",,28. Apr. 1978,Tunnel,Wilmersdorf,,Eintrag in der Berliner Landesdenkmalliste,,Hauptverwaltung der Deutschen Rentenversicherung,
"Kottbusser Tor (Kbo)
52° 29′ 57″ N, 13° 25′ 5″ O",,4. Aug. 1929,Viadukt,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,ursprünglicher Bahnhof 100 Meter östlich,,
"Kottbusser Tor (Kbu)
52° 29′ 57″ N, 13° 25′ 5″ O",,12. Feb. 1928,Tunnel,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,,,
"Krumme Lanke (K)
52° 26′ 36″ N, 13° 14′ 29″ O",,22. Dez. 1929,Einschnitt,Zehlendorf,,Eintrag in der Berliner Landesdenkmalliste,Abstellanlage,,
"Kurfürstendamm (Kfo)
52° 30′ 15″ N, 13° 19′ 59″ O",,2. Sep. 1961,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,Bahnsteige für Großprofil vorbereitet,"Gedächtniskirche, Theater des Westens, Café Kranzler",
"Kurfürstendamm (Kfu)
52° 30′ 15″ N, 13° 19′ 59″ O",,28. Aug. 1961,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,,"Gedächtniskirche, Theater des Westens, Café Kranzler",
"Kurfürstenstraße (Kus)
52° 30′ 0″ N, 13° 21′ 43″ O",,26. Okt. 1926,Tunnel,Tiergarten,,–,,,
"Kurt-Schumacher-Platz (Sch)
52° 33′ 48″ N, 13° 19′ 39″ O",,3. Mai 1956,Tunnel,Reinickendorf,,–,,,
"Leinestraße (L)
52° 28′ 25″ N, 13° 25′ 41″ O",,4. Aug. 1929,Tunnel,Neukölln,,Eintrag in der Berliner Landesdenkmalliste,,,
"Leopoldplatz (Lpo)
52° 32′ 47″ N, 13° 21′ 33″ O",,8. März 1923,Tunnel,Wedding,,–,Ab 1961 Seitenbahnsteige,"Rathaus Wedding, Alte und Neue Nazarethkirche",
"Leopoldplatz (Lpu)
52° 32′ 47″ N, 13° 21′ 33″ O",,28. Aug. 1961,Tunnel,Wedding,,–,,"Rathaus Wedding, Alte und Neue Nazarethkirche",
"Lichtenberg (Li)
52° 30′ 38″ N, 13° 29′ 47″ O",,21. Dez. 1930,Tunnel,Lichtenberg,,–,"1930–1935: *Lichtenberg (Zentralfriedhof)*
1935–1965: *Bahnhof Lichtenberg (Zentralfriedhof)*",Oskar-Ziethen-Krankenhaus,
"Lindauer Allee (LD)
52° 34′ 31″ N, 13° 20′ 21″ O",,29. Sep. 1994,Tunnel,Reinickendorf,,–,,,
"Lipschitzallee (La)
52° 25′ 29″ N, 13° 27′ 46″ O",,2. Jan. 1970,Tunnel,Gropiusstadt,,–,,Gropiushaus,
"Louis-Lewin-Straße (LL)
52° 32′ 20″ N, 13° 37′ 6″ O",,1. Juli 1989,Einschnitt,Hellersdorf,,Eintrag in der Berliner Landesdenkmalliste 2017[1],1989–1991: *Paul-Verner-Straße*,,
"Magdalenenstraße (Md)
52° 30′ 45″ N, 13° 29′ 11″ O",,21. Dez. 1930,Tunnel,Lichtenberg,,–,,ehem. MfS-Zentrale Normannenstraße,
"Märkisches Museum (Mk)
52° 30′ 43″ N, 13° 24′ 32″ O",,1. Juli 1913,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,1913–1935: *Inselbrücke*,"Fischerinsel, Märkisches Museum, Bärenzwinger im Köllnischen Park",
"Mehringdamm (Me)
52° 29′ 40″ N, 13° 23′ 19″ O",,19. Apr. 1924,Tunnel,Kreuzberg,,–,"1924–1946: *Belle-Alliance-Straße*
1946–1947: *Franz-Mehring-Straße*",Amerika-Gedenkbibliothek,
"Mendelssohn-Bartholdy-Park (MB)
52° 30′ 14″ N, 13° 22′ 30″ O",,2. Okt. 1998,Viadukt,Kreuzberg,,–,,"Atrium Tower, Lapidarium",
"Mierendorffplatz (Mp)
52° 31′ 36″ N, 13° 18′ 18″ O",,1. Okt. 1980,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,,,
"Möckernbrücke (Mo)
52° 29′ 57″ N, 13° 22′ 59″ O",,25. März 1937,Viadukt,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,"ursprünglicher Bahnhof 1902 bis 1937 etwas westlich (näher zur 
namensgebenden Brücke)","Spectrum, Tempodrom",
"Möckernbrücke (Mu)
52° 29′ 57″ N, 13° 22′ 59″ O",,28. Feb. 1966,Tunnel,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,,"Spectrum, Tempodrom",
"Mohrenstraße (MH)
52° 30′ 42″ N, 13° 23′ 5″ O",,1. Okt. 1908,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,"1908–1950: *Kaiserhof*
1950–1986: *Thälmannplatz*
1986–1991: *Otto-Grotewohl-Straße*","Museum für Kommunikation, Bundesrat, Bundesministerium der Finanzen",
"Moritzplatz (Mr)
52° 30′ 13″ N, 13° 24′ 39″ O",,6. Apr. 1928,Tunnel,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,,,
"Museumsinsel
52° 31′ 3″ N, 13° 23′ 54″ O",,9. Juli 2021,Tunnel,Mitte,,–,,"Humboldt-Universität, Museumsinsel, Staatsoper Unter den Linden, Zeughaus",
"Naturkundemuseum (NA)
52° 31′ 52″ N, 13° 22′ 57″ O",,30. Jan. 1923,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,"1923–1950: *Stettiner Bahnhof*
1950–1991: *Nordbahnhof*
1991–2009: *Zinnowitzer Straße*
1961–1990 „Geisterbahnhof“","Museum für Naturkunde, Französischer Friedhof, Dorotheenstädtischer Friedhof",
"Nauener Platz (Np)
52° 33′ 6″ N, 13° 22′ 3″ O",,30. Apr. 1976,Tunnel,Wedding,,Eintrag in der Berliner Landesdenkmalliste,,,
"Neu-Westend (Nd)
52° 30′ 56″ N, 13° 15′ 40″ O",,20. Mai 1922,Tunnel,Westend,,Eintrag in der Berliner Landesdenkmalliste,,,
"Neukölln (Südring) (Nk)
52° 28′ 10″ N, 13° 26′ 32″ O",,21. Dez. 1930,Tunnel,Neukölln,,Eintrag in der Berliner Landesdenkmalliste,1962–1992: *Neukölln*,Dorfkern Rixdorf,
"Nollendorfplatz (Nm)
52° 29′ 58″ N, 13° 21′ 13″ O",,26. Okt. 1926,Tunnel,Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,nach Warschauer Straße bzw. Innsbrucker Platz,"Neues Schauspielhaus (Berlin-Schöneberg), Winterfeldtplatz",
"Nollendorfplatz (Nu)
52° 29′ 58″ N, 13° 21′ 13″ O",,26. Okt. 1926,Tunnel,Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,nach Wittenbergplatz,"Neues Schauspielhaus (Berlin-Schöneberg), Winterfeldtplatz",
"Nollendorfplatz (No)
52° 29′ 58″ N, 13° 21′ 13″ O",,11. März 1902,Viadukt,Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,1972–1993 stillgelegt,"Neues Schauspielhaus (Berlin-Schöneberg), Winterfeldtplatz",
"*Nürnberger Platz (Nb)*
52° 29′ 54″ N, 13° 20′ 3″ O",,12. Okt. 1913,Tunnel,Wilmersdorf,,–,"wegen zu dichter Nähe zu Spichernstraße am 1. Juli 1959 geschlossen; Augsburger 
Straße als Ersatz",,
"Olympia-Stadion (Sd)
52° 31′ 2″ N, 13° 15′ 0″ O",,8. Juni 1913,Einschnitt,Westend,,Eintrag in der Berliner Landesdenkmalliste,"1913–1935: *Stadion*
1935–1950: *Reichssportfeld*
1992–1999: *Olympia-Stadion (Ost)*
Betriebswerkstatt","Olympiastadion, Berliner U-Bahn-Museum, Waldbühne, Corbusierhaus",
"Onkel Toms Hütte (Ot)
52° 27′ 1″ N, 13° 15′ 12″ O",,22. Dez. 1929,Plan,Zehlendorf,,Eintrag in der Berliner Landesdenkmalliste,,,
"Oranienburger Tor (Ob)
52° 31′ 30″ N, 13° 23′ 15″ O",,30. Jan. 1923,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,1961–1990 „Geisterbahnhof“,"Robert Koch-Institut, Kunsthaus Tacheles, Friedrichstadt-Palast",
"Oskar-Helene-Heim (Os)
52° 27′ 1″ N, 13° 16′ 11″ O",,22. Dez. 1929,Einschnitt,Dahlem,,Eintrag in der Berliner Landesdenkmalliste,Namensgebendes Krankenhaus existiert nicht mehr.,,
